Transaction ID,Customer ID,Product ID,Product Name,Quantity,Price Per Unit,Total Price,Timestamp
1,101,P001,Laptop,1,$800,$800,2024-03-20 10:00:00
2,102,P002,Smartphone,2,$500,"$1,000",2024-03-20 10:15:00
3,103,P003,Headphones,1,$100,$100,2024-03-20 10:30:00
4,104,P004,Smart Watch,1,$200,$200,2024-03-20 11:00:00
5,105,P005,Tablet,3,$300,$900,2024-03-20 11:30:00
6,106,P006,Wireless Mouse,2,$20,$40,2024-03-20 12:00:00
7,107,P007,External Hard Drive,1,$150,$150,2024-03-20 12:30:00
8,108,P008,Keyboard,1,$50,$50,2024-03-20 13:00:00
9,109,P009,Printer,1,$250,$250,2024-03-20 13:30:00
10,110,P010,Monitor,2,$400,$800,2024-03-20 14:00:00
11,111,P011,Gaming Console,1,$400,$400,2024-03-20 14:30:00
12,112,P012,Camera,1,$600,$600,2024-03-20 15:00:00
13,113,P013,Speaker System,1,$150,$150,2024-03-20 15:30:00
14,114,P014,SSD,2,$100,$200,2024-03-20 16:00:00
15,115,P015,Wireless Earbuds,3,$80,$240,2024-03-20 16:30:00
